id,firstname,lastname,programCode,year,gender
2024-0040,Luis,Reyes,BSIT,1,Male
2024-0041,Mark,Garcia,BSIT,2,Other
2024-0042,Jose,Reyes,BSED,4,Male
2024-0043,Ethan,Velez,BSCE,2,Male
2024-0044,Luis,Castillo,BSED,2,Male
2024-0045,Emma,Flores,BSCE,4,Male
2024-0046,Maria,Cruz,BSN,2,Other
2024-0047,Emma,Ramirez,BSCE,4,Male
2024-0048,Isabela,Torres,AB-EL,2,Other
2024-0049,Ana,Reyes,AB-EL,1,Other
2024-0050,Sofia,Fernandez,BSED,4,Other
2024-0051,Alex,Diaz,BSCE,1,Male
2024-0052,Pedro,Ortega,AB-EL,3,Male
2024-0053,Carlos,Rodriguez,BSBA,3,Other
2024-0054,Mark,Rodriguez,BSN,1,Female
2024-0055,Mia,Ortega,BSCE,2,Other
2024-0056,Luis,Santos,BSBA,4,Other
2024-0057,Carlos,Navarro,BSN,2,Female
2024-0058,Pedro,Lopez,BSBA,4,Female
2024-0059,Emma,Torres,BSIT,5,Other
2024-0060,Juan,Rodriguez,BSCE,4,Female
2024-0061,Ana,Gonzales,BSED,2,Other
2024-0062,Leah,Gonzales,AB-EL,3,Male
2024-0063,Luis,Alvarez,BSBA,4,Male
2024-0064,Carlos,Reyes,BSN,2,Male
2024-0065,Carlos,Ortega,BSCS,4,Male
2024-0066,Miguel,Ortega,AB-EL,2,Other
2024-0067,Ava,Mendoza,BSBA,5,Male
2024-0068,Miguel,Castillo,BSN,1,Male
2024-0069,Ava,Lopez,AB-EL,2,Female
2024-0070,Mark,Garcia,BSED,5,Female
2024-0071,Jose,Rodriguez,AB-EL,4,Male
2024-0072,Pedro,Garcia,AB-EL,5,Other
2024-0073,Pedro,Velez,BSBA,5,Male
2024-0074,Carlos,Torres,BSBA,1,Female
2024-0075,Rosa,Flores,BSCS,5,Male
2024-0076,Emma,Torres,BSIT,3,Male
2024-0077,Noah,Ramos,BSBA,1,Male
2024-0078,Jose,Mendoza,BSIT,3,Male
2024-0079,Mark,Ortega,AB-EL,3,Other
2024-0080,Juan,Flores,BSED,5,Other
2024-0081,Luis,Ramos,BSN,3,Other
2024-0082,Carlos,Rodriguez,BSCE,1,Other
2024-0083,Jose,Rodriguez,BSCS,5,Other
2024-0084,Ava,Velez,BSIT,1,Male
2024-0085,Carlos,Navarro,BSCE,3,Other
2024-0086,Alex,Mendoza,BSIT,1,Other
2024-0087,Jose,Torres,BSBA,2,Other
2024-0088,Mark,Diaz,BSBA,2,Male
2024-0089,Noah,Navarro,BSIT,1,Female
2024-0090,Pedro,Torres,BSCS,4,Male
2024-0091,Noah,Lopez,BSN,5,Male
2024-0092,Ana,Lopez,BSCE,5,Other
2024-0093,Pedro,Fernandez,BSCS,3,Other
2024-0094,Rosa,Diaz,BSED,5,Male
2024-0095,Jose,Torres,BSCE,5,Female
2024-0096,Pedro,Santos,BSBA,3,Male
2024-0097,Noah,Ramirez,BSN,1,Other
2024-0098,Ava,Torres,BSED,1,Male
2024-0099,Mark,Ramos,BSN,2,Male
2024-0100,Jose,Rodriguez,BSCE,3,Female
2024-0101,Juan,Velez,AB-EL,3,Male
2024-0102,Mark,Fernandez,BSED,4,Other
2024-0103,Pedro,Gonzales,BSBA,2,Male
2024-0104,Ana,Reyes,BSBA,5,Other
2024-0105,Leah,Diaz,BSBA,5,Other
2024-0106,Jane,Diaz,BSIT,1,Other
2024-0107,Jane,Gonzales,BSCE,3,Male
2024-0108,Ava,Castillo,BSN,3,Female
2024-0109,Pedro,Dela Cruz,BSN,2,Other
2024-0110,Mia,Garcia,BSED,5,Male
2024-0111,Miguel,Rodriguez,BSCE,2,Male
2024-0112,Pedro,Cruz,BSBA,4,Male
2024-0113,Mark,Ortega,BSBA,5,Male
2024-0114,Maria,Velez,BSIT,5,Other
2024-0115,Pedro,Ramos,BSED,5,Female
2024-0116,Luis,Mendoza,AB-EL,2,Female
2024-0117,Noah,Alvarez,BSBA,1,Male
2024-0118,Pedro,Torres,BSED,3,Male
2024-0119,Emma,Dela Cruz,BSBA,5,Male
2024-0120,Sofia,Ramos,BSCS,4,Female
2024-0121,Alex,Rodriguez,BSBA,3,Female
2024-0122,Rosa,Navarro,BSCS,1,Other
2024-0123,Alex,Gonzales,BSIT,2,Male
2024-0124,Juan,Mendoza,BSCE,5,Male
2024-0125,Leah,Dela Cruz,BSCS,1,Female
2024-0126,Mia,Mendoza,BSBA,2,Male
2024-0127,Mia,Gonzales,BSCE,2,Female
2024-0128,Jose,Torres,BSIT,4,Other
2024-0129,Emma,Mendoza,AB-EL,1,Male
2024-0130,Noah,Santos,AB-EL,1,Male
2024-0131,Miguel,Ortega,BSED,4,Other
2024-0132,Miguel,Mendoza,BSIT,1,Other
2024-0133,Rosa,Mendoza,BSED,5,Male
2024-0134,Ethan,Flores,BSED,4,Female
2024-0135,Ana,Reyes,BSBA,3,Male
2024-0136,Rosa,Velez,BSN,4,Female
2024-0137,Miguel,Dela Cruz,BSED,1,Female
2024-0138,Noah,Cruz,BSCS,1,Male
2024-0139,Juan,Ramos,BSCS,2,Other
2024-0140,Mia,Mendoza,AB-EL,2,Male
2024-0141,Carlos,Cruz,BSIT,1,Other
2024-0142,Maria,Diaz,BSED,4,Female
2024-0143,Miguel,Rodriguez,BSN,5,Male
2024-0144,Alex,Garcia,BSBA,4,Other
2024-0145,Luis,Navarro,BSBA,3,Other
2024-0146,Ethan,Navarro,BSCE,4,Other
2024-0147,Miguel,Castillo,BSED,5,Female
2024-0148,Emma,Ramos,BSCS,1,Female
2024-0149,Mark,Garcia,BSED,4,Other
2024-0150,Ethan,Ramos,AB-EL,5,Male
2024-0151,Mia,Mendoza,BSN,2,Other
2024-0152,Emma,Cruz,BSIT,1,Other
2024-0153,Isabela,Velez,BSCE,5,Other
2024-0154,Ethan,Mendoza,BSCE,1,Male
2024-0155,Mia,Fernandez,BSN,2,Female
2024-0156,Ethan,Lopez,BSCE,4,Female
2024-0157,Noah,Santos,BSCE,4,Other
2024-0158,Ana,Velez,BSIT,2,Male
2024-0159,Ava,Torres,BSIT,1,Male
2024-0160,Isabela,Diaz,BSCE,5,Other
2024-0161,Alex,Navarro,BSCS,2,Other
2024-0162,Ana,Navarro,BSBA,2,Male
2024-0163,Juan,Ramirez,AB-EL,1,Male
2024-0164,Noah,Navarro,BSBA,3,Other
2024-0165,Pedro,Flores,BSN,1,Male
2024-0166,Alex,Ramirez,BSBA,4,Other
2024-0167,Sofia,Torres,BSIT,4,Other
2024-0168,Noah,Torres,BSED,4,Male
2024-0169,Carlos,Ramos,AB-EL,4,Male
2024-0170,Ethan,Santos,BSBA,1,Male
2024-0171,Carlos,Lopez,BSCE,1,Female
2024-0172,Emma,Santos,BSBA,2,Female
2024-0173,Luis,Ramirez,BSED,5,Male
2024-0174,Juan,Cruz,AB-EL,2,Other
2024-0175,Mia,Dela Cruz,BSN,1,Female
2024-0176,Pedro,Gonzales,BSIT,5,Female
2024-0177,Isabela,Flores,BSED,4,Male
2024-0178,Pedro,Torres,BSN,2,Other
2024-0179,Ava,Santos,BSCE,1,Male
2024-0180,Noah,Reyes,BSIT,5,Male
2024-0181,Isabela,Castillo,BSIT,2,Male
2024-0182,Rosa,Santos,BSIT,2,Female
2024-0183,Ana,Rodriguez,BSIT,3,Female
2024-0184,Luis,Fernandez,BSCS,4,Other
2024-0185,Miguel,Torres,AB-EL,5,Other
2024-0186,Ava,Diaz,BSBA,1,Other
2024-0187,Jane,Fernandez,BSN,2,Other
2024-0188,Juan,Garcia,BSED,2,Male
2024-0189,Noah,Cruz,BSBA,5,Male
2024-0190,Jane,Santos,BSBA,1,Female
2024-0191,Mark,Ortega,BSBA,2,Other
2024-0192,Emma,Flores,BSBA,3,Male
2024-0193,Ethan,Flores,BSCS,1,Female
2024-0194,Mia,Fernandez,BSBA,3,Female
2024-0195,Isabela,Dela Cruz,BSBA,3,Male
2024-0196,Isabela,Flores,AB-EL,2,Female
2024-0197,Leah,Diaz,BSN,1,Other
2024-0198,Ava,Navarro,BSCS,4,Female
2024-0199,Noah,Ramirez,BSIT,2,Female
2024-0200,Miguel,Dela Cruz,AB-EL,5,Male
2024-0201,Juan,Castillo,BSCE,3,Other
2024-0202,Leah,Velez,AB-EL,1,Male
2024-0203,Ava,Velez,BSN,4,Male
2024-0204,Ethan,Garcia,BSCS,3,Female
2024-0205,Juan,Ramos,BSCS,1,Other
2024-0206,Sofia,Alvarez,BSN,3,Female
2024-0207,Mia,Flores,BSED,5,Other
2024-0208,Noah,Dela Cruz,AB-EL,4,Other
2024-0209,Miguel,Reyes,BSCS,4,Male
2024-0210,Noah,Castillo,BSIT,2,Male
2024-0211,Ana,Mendoza,BSCE,4,Other
2024-0212,Ava,Dela Cruz,BSBA,3,Male
2024-0213,Noah,Ramos,BSN,1,Female
2024-0214,Jane,Dela Cruz,BSIT,1,Male
2024-0215,Leah,Diaz,BSED,1,Male
2024-0216,Alex,Ortega,BSBA,3,Other
2024-0217,Leah,Alvarez,BSIT,2,Other
2024-0218,Rosa,Lopez,BSIT,5,Male
2024-0219,Juan,Garcia,BSED,3,Other
2024-0220,Luis,Velez,BSN,1,Male
2024-0221,Luis,Mendoza,BSN,1,Other
2024-0222,Leah,Castillo,BSCE,1,Male
2024-0223,Pedro,Mendoza,BSN,2,Male
2024-0224,Rosa,Reyes,BSBA,2,Female
2024-0225,Emma,Torres,BSN,3,Male
2024-0226,Rosa,Torres,BSBA,2,Female
2024-0227,Sofia,Ramirez,BSN,5,Male
2024-0228,Noah,Garcia,BSIT,5,Other
2024-0229,Luis,Velez,BSBA,2,Other
2024-0230,Alex,Gonzales,BSIT,2,Other
2024-0231,Mark,Reyes,BSED,1,Other
2024-0232,Mark,Ortega,BSIT,3,Other
2024-0233,Isabela,Navarro,BSBA,1,Other
2024-0234,Alex,Mendoza,BSIT,4,Other
2024-0235,Noah,Dela Cruz,AB-EL,3,Male
2024-0236,Jose,Ramirez,BSED,4,Female
2024-0237,Emma,Cruz,BSBA,2,Female
2024-0238,Carlos,Velez,BSBA,3,Male
2024-0239,Isabela,Ramos,BSIT,3,Other
2024-0240,Jane,Rodriguez,BSBA,1,Female
2024-0241,Miguel,Santos,BSCS,1,Other
2024-0242,Miguel,Reyes,AB-EL,1,Female
2024-0243,Emma,Torres,BSCE,5,Other
2024-0244,Mark,Alvarez,AB-EL,2,Male
2024-0245,Rosa,Alvarez,BSED,2,Male
2024-0246,Carlos,Santos,BSN,4,Other
2024-0247,Maria,Flores,BSBA,3,Other
2024-0248,Noah,Ortega,BSED,3,Other
2024-0249,Jose,Alvarez,BSED,3,Male
2024-0250,Miguel,Diaz,BSIT,3,Other
2024-0251,Ana,Rodriguez,BSED,2,Male
2024-0252,Luis,Gonzales,BSCS,1,Female
2024-0253,Mia,Dela Cruz,BSBA,1,Female
2024-0254,Leah,Gonzales,BSCE,4,Other
2024-0255,Sofia,Alvarez,BSCS,5,Female
2024-0256,Carlos,Dela Cruz,AB-EL,3,Female
2024-0257,Carlos,Alvarez,BSCS,1,Female
2024-0258,Jane,Garcia,BSBA,1,Other
2024-0259,Jane,Diaz,BSED,1,Other
2024-0260,Luis,Flores,AB-EL,1,Female
2024-0261,Leah,Garcia,BSN,5,Other
2024-0262,Pedro,Garcia,BSCS,2,Male
2024-0263,Emma,Reyes,BSBA,4,Other
2024-0264,Sofia,Torres,BSIT,4,Male
2024-0265,Ethan,Reyes,BSIT,2,Female
2024-0266,Mark,Rodriguez,BSN,2,Male
2024-0267,Pedro,Lopez,BSIT,2,Female
2024-0268,Leah,Ramirez,AB-EL,2,Female
2024-0269,Pedro,Mendoza,BSBA,1,Male
2024-0270,Mia,Rodriguez,BSIT,1,Other
2024-0271,Leah,Alvarez,BSCE,1,Female
2024-0272,Sofia,Ortega,BSED,5,Male
2024-0273,Leah,Reyes,BSBA,3,Male
2024-0274,Isabela,Ramos,BSN,5,Male
2024-0275,Jane,Ramirez,BSED,2,Female
2024-0276,Miguel,Navarro,BSED,3,Male
2024-0277,Leah,Navarro,BSED,1,Other
2024-0278,Jose,Rodriguez,AB-EL,5,Other
2024-0279,Maria,Reyes,AB-EL,1,Other
2024-0280,Mark,Ramirez,BSCE,5,Other
2024-0281,Leah,Alvarez,BSBA,3,Female
2024-0282,Sofia,Garcia,BSBA,3,Other
2024-0283,Jane,Cruz,BSN,1,Other
2024-0284,Maria,Alvarez,BSCS,4,Male
2024-0285,Carlos,Santos,BSCE,1,Male
2024-0286,Mark,Garcia,BSIT,2,Male
2024-0287,Alex,Gonzales,AB-EL,5,Female
2024-0288,Sofia,Fernandez,BSED,1,Male
2024-0289,Jose,Flores,AB-EL,2,Female
2024-0290,Mark,Navarro,AB-EL,4,Female
2024-0291,Sofia,Alvarez,AB-EL,2,Female
2024-0292,Jane,Fernandez,BSCE,1,Female
2024-0293,Ethan,Flores,BSCE,2,Female
2024-0294,Isabela,Flores,AB-EL,1,Other
2024-0295,Ethan,Cruz,BSCE,5,Other
2024-0296,Ana,Fernandez,BSCE,3,Male
2024-0297,Juan,Lopez,BSCE,3,Other
2024-0298,Ethan,Ortega,BSED,1,Other
2024-0299,Rosa,Alvarez,BSCS,4,Male
2024-0300,Mia,Dela Cruz,BSED,1,Female
2024-0301,Alex,Castillo,BSED,4,Male
2024-0302,Carlos,Torres,BSED,1,Male
2024-0303,Emma,Lopez,BSIT,4,Male
2024-0304,Jane,Flores,BSBA,3,Female
2024-0305,Ava,Gonzales,BSCE,5,Other
2024-0306,Ava,Flores,BSN,5,Male
2024-0307,Isabela,Garcia,BSBA,2,Other
2024-0308,Mia,Flores,BSCE,2,Female
2024-0309,Jose,Alvarez,BSCE,1,Female
2024-0310,Pedro,Fernandez,BSN,2,Male
2024-0311,Leah,Alvarez,BSCE,1,Male
2024-0312,Miguel,Mendoza,BSED,5,Male
2024-0313,Alex,Castillo,BSED,2,Male
2024-0314,Mia,Garcia,BSIT,5,Female
2024-0315,Leah,Castillo,BSCE,2,Female
2024-0316,Carlos,Navarro,BSN,2,Other
2024-0317,Sofia,Torres,BSBA,1,Other
2024-0318,Pedro,Lopez,BSCE,3,Other
2024-0319,Ava,Dela Cruz,BSCE,1,Other
2024-0320,Ava,Ramirez,BSBA,1,Other
2024-0321,Ava,Reyes,AB-EL,1,Other
2024-0322,Alex,Fernandez,BSCE,1,Male
2024-0323,Emma,Dela Cruz,BSCE,2,Female
2024-0324,Ethan,Fernandez,AB-EL,2,Other
2024-0325,Rosa,Navarro,BSBA,5,Female
2024-0326,Emma,Alvarez,BSED,3,Male
2024-0327,Rosa,Castillo,BSIT,2,Other
2024-0328,Miguel,Navarro,BSED,3,Other
2024-0329,Luis,Ramos,BSED,5,Male
2024-0330,Ethan,Santos,BSBA,5,Female
2024-0331,Rosa,Alvarez,BSED,5,Male
2024-0332,Juan,Alvarez,BSED,4,Male
2024-0333,Ana,Dela Cruz,BSBA,4,Male
2024-0334,Maria,Diaz,AB-EL,5,Male
2024-0335,Noah,Gonzales,BSIT,3,Male
2024-0336,Jose,Torres,BSIT,5,Female
2024-0337,Isabela,Flores,BSED,4,Male
2024-0338,Jane,Velez,BSED,1,Female
2024-0339,Emma,Cruz,BSBA,1,Female
2024-0340,Luis,Ramos,BSCE,3,Female
2024-0341,Luis,Castillo,BSBA,5,Female
2024-0342,Ethan,Torres,AB-EL,5,Male
2024-0343,Noah,Velez,AB-EL,4,Other
2024-0344,Rosa,Lopez,BSIT,3,Male
2024-0345,Luis,Ramos,BSCS,4,Other
2024-0346,Miguel,Mendoza,BSCE,2,Female
2024-0347,Rosa,Garcia,BSN,5,Female
2024-0348,Alex,Navarro,BSIT,3,Male
2024-0349,Ava,Mendoza,BSED,2,Male
2024-0350,Ava,Ortega,BSED,5,Female
2024-0351,Noah,Diaz,BSED,1,Other
2024-0352,Alex,Dela Cruz,BSCS,5,Male
2024-0353,Luis,Diaz,BSED,1,Female
2024-0354,Carlos,Velez,BSED,3,Male
2024-0355,Miguel,Ramos,BSCS,1,Male
2024-0356,Ava,Castillo,BSIT,5,Female
2024-0357,Jane,Garcia,BSED,4,Male
2024-0358,Leah,Flores,BSN,1,Male
2024-0359,Mia,Diaz,BSBA,3,Other
2024-0360,Juan,Torres,BSN,4,Other
2024-0361,Jane,Garcia,BSCE,4,Male
2024-0362,Maria,Velez,AB-EL,2,Other
2024-0363,Ethan,Rodriguez,BSIT,4,Other
2024-0364,Carlos,Ramirez,BSCS,3,Other
2024-0365,Isabela,Rodriguez,BSBA,2,Other
2024-0366,Luis,Castillo,BSIT,2,Other
2024-0367,Alex,Ramos,BSCE,2,Other
2024-0368,Jose,Alvarez,BSBA,4,Female
2024-0369,Leah,Garcia,BSBA,4,Other
2024-0370,Miguel,Lopez,BSCE,1,Male
2024-0371,Luis,Ramirez,BSN,4,Female
2024-0372,Maria,Lopez,BSBA,4,Other
2024-0373,Luis,Ortega,BSCS,2,Other
2024-0374,Mark,Ortega,BSED,3,Other
2024-0375,Sofia,Flores,BSED,1,Other
2024-0376,Ana,Diaz,BSIT,5,Male
2024-0377,Ava,Diaz,BSCE,2,Other
2024-0378,Miguel,Rodriguez,BSCE,1,Male
2024-0379,Ava,Velez,BSED,4,Other
2024-0380,Juan,Ramos,BSIT,1,Female
2024-0381,Carlos,Ramos,AB-EL,1,Other
2024-0382,Carlos,Fernandez,BSN,5,Other
2024-0383,Juan,Dela Cruz,BSIT,2,Other
2024-0384,Mia,Gonzales,BSBA,3,Other
2024-0385,Luis,Torres,AB-EL,4,Male
2024-0386,Rosa,Ramos,AB-EL,5,Female
2024-0387,Ethan,Dela Cruz,BSCS,5,Female
2024-0388,Carlos,Cruz,AB-EL,3,Female
2024-0389,Juan,Rodriguez,BSIT,4,Female
2024-0390,Ana,Alvarez,BSCE,2,Female
2024-0391,Miguel,Mendoza,BSN,2,Male
2024-0392,Alex,Gonzales,BSED,1,Other
2024-0393,Carlos,Lopez,BSCE,5,Male
2024-0394,Ana,Garcia,BSED,3,Other
2024-0395,Juan,Navarro,BSIT,3,Female
2024-0396,Jose,Rodriguez,BSN,1,Male
2024-0397,Rosa,Flores,BSED,1,Other
2024-0398,Isabela,Castillo,BSCE,3,Male
2024-0399,Ethan,Ortega,BSN,2,Male
2024-0400,Sofia,Velez,BSCS,2,Male
2024-0401,Miguel,Castillo,BSED,3,Female
2024-0402,Ana,Alvarez,AB-EL,4,Other
2024-0403,Isabela,Dela Cruz,BSIT,5,Other
2024-0404,Luis,Reyes,BSCS,4,Other
2024-0405,Rosa,Flores,BSED,2,Other
2024-0406,Juan,Cruz,BSCE,4,Female
2024-0407,Jane,Ortega,BSIT,3,Male
2024-0408,Isabela,Gonzales,BSN,1,Male
2024-0409,Emma,Ramirez,AB-EL,1,Other
2024-0410,Mia,Navarro,BSIT,5,Other
2024-0411,Pedro,Velez,BSN,2,Male
2024-0412,Ava,Ramirez,BSCE,4,Male
2024-0413,Ana,Mendoza,BSN,2,Male
2024-0414,Jose,Cruz,BSED,1,Male
2024-0415,Ana,Lopez,BSN,1,Other
2024-0416,Sofia,Ramos,BSED,3,Male
2024-0417,Juan,Castillo,BSIT,4,Other
2024-0418,Ana,Ramos,BSN,1,Male
2024-0419,Carlos,Torres,BSCS,4,Male
2024-0420,Rosa,Ortega,BSN,1,Male
2024-0421,Rosa,Flores,BSBA,4,Other
2024-0422,Leah,Navarro,BSBA,4,Female
2024-0423,Alex,Ramos,BSCE,2,Male
2024-0424,Alex,Diaz,AB-EL,4,Other
2024-0425,Jose,Lopez,BSBA,3,Male
2024-0426,Mia,Rodriguez,AB-EL,4,Female
2024-0427,Ana,Cruz,BSIT,2,Female
2024-0428,Emma,Cruz,BSCS,1,Other
2024-0429,Juan,Alvarez,BSN,2,Female
2024-0430,Emma,Alvarez,BSN,1,Other
2024-0431,Alex,Santos,BSBA,4,Female
2024-0432,Miguel,Lopez,BSCS,3,Female
2024-0433,Ava,Rodriguez,BSCE,4,Male
2024-0434,Ethan,Alvarez,BSED,1,Other
2024-0435,Maria,Castillo,BSIT,2,Other
2024-0436,Sofia,Ortega,AB-EL,3,Female
2024-0437,Leah,Ramirez,BSED,5,Male
2024-0438,Pedro,Diaz,BSIT,5,Female
2024-0439,Pedro,Ortega,BSN,3,Other
2024-0440,Ava,Torres,BSIT,3,Male
2024-0441,Miguel,Reyes,BSN,2,Female
2024-0442,Jose,Rodriguez,BSCS,3,Other
2024-0443,Ava,Alvarez,BSN,4,Female
2024-0444,Mark,Flores,BSED,4,Male
2024-0445,Ana,Lopez,BSBA,1,Other
2024-0446,Rosa,Flores,AB-EL,2,Other
2024-0447,Sofia,Rodriguez,BSCE,4,Female
2024-0448,Mia,Alvarez,BSN,2,Male
2024-0449,Mark,Flores,AB-EL,4,Male
2024-0450,Mark,Ortega,BSBA,3,Female
2024-0451,Jane,Torres,BSN,2,Other
2024-0452,Mia,Torres,BSED,5,Female
2024-0453,Leah,Navarro,AB-EL,1,Other
2024-0454,Juan,Rodriguez,BSBA,4,Female
2024-0455,Mia,Castillo,AB-EL,3,Female
2024-0456,Juan,Diaz,BSCS,1,Other
2024-0457,Alex,Gonzales,BSBA,2,Male
2024-0458,Miguel,Navarro,BSIT,1,Male
2024-0459,Mark,Reyes,BSED,4,Female
2024-0460,Ethan,Ortega,BSCE,4,Other
2024-0461,Miguel,Cruz,BSCE,4,Male
2024-0462,Carlos,Rodriguez,BSCE,3,Female
2024-0463,Noah,Flores,AB-EL,4,Male
2024-0464,Emma,Garcia,BSBA,2,Female
2024-0465,Ana,Diaz,BSCE,2,Other
2024-0466,Carlos,Flores,BSCE,5,Other
2024-0467,Ana,Reyes,BSN,3,Other
2024-0468,Luis,Torres,BSED,1,Female
2024-0469,Mark,Reyes,BSED,1,Female
2024-0470,Sofia,Garcia,BSCS,5,Other
2024-0471,Ava,Ortega,BSCS,1,Other
2024-0472,Isabela,Gonzales,BSN,3,Other
2024-0473,Carlos,Fernandez,BSIT,3,Male
2024-0474,Carlos,Reyes,BSIT,4,Female
2024-0475,Mia,Flores,BSIT,2,Female
2024-0476,Leah,Ortega,BSCE,4,Female
2024-0477,Emma,Torres,BSCS,4,Female
2024-0478,Mia,Lopez,BSCE,4,Other
2024-0479,Ethan,Lopez,BSBA,5,Female
2024-0480,Noah,Lopez,BSCS,4,Female
2024-0481,Carlos,Gonzales,AB-EL,1,Female
2024-0482,Jose,Flores,BSN,3,Other
2024-0483,Mia,Dela Cruz,BSBA,3,Male
2024-0484,Isabela,Diaz,BSCE,4,Male
2024-0485,Noah,Gonzales,BSIT,5,Other
2024-0486,Sofia,Mendoza,BSBA,5,Female
2024-0487,Noah,Torres,BSN,1,Other
2024-0488,Jose,Alvarez,BSED,5,Male
2024-0489,Leah,Diaz,BSIT,3,Other
2024-0490,Juan,Diaz,BSN,1,Male
2024-0491,Emma,Mendoza,BSIT,2,Male
2024-0492,Jane,Velez,BSIT,4,Female
2024-0493,Leah,Cruz,BSN,3,Female
2024-0494,Pedro,Lopez,BSCE,4,Other
2024-0495,Ava,Lopez,BSCE,3,Other
2024-0496,Maria,Diaz,BSIT,1,Male
2024-0497,Luis,Flores,BSCS,5,Male
2024-0498,Noah,Garcia,BSIT,2,Female
2024-0499,Leah,Dela Cruz,BSBA,4,Male
2024-0500,Ava,Santos,BSIT,4,Male
